step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,49,1,0.36199985210977803,0.0,0.7368421052631579,0.5367042096592486,0.0,0.7894736842105263
2,90,2,0.49049131108075383,0.0,0.7894736842105263,,,
3,131,3,0.40823895856831227,0.0,0.7368421052631579,,,
4,180,4,0.318652021206993,0.0,0.7894736842105263,,,
5,221,5,0.2793011961933225,0.0,0.8421052631578947,,,
6,270,6,0.16923987971647875,0.0,0.8421052631578947,,,
7,311,7,0.20099925325135704,0.0,0.8421052631578947,,,
8,352,8,0.20319241780036826,0.0,0.8947368421052632,,,
9,393,9,0.13718077666809406,0.0,0.8947368421052632,0.08645153085853963,0.0,0.9473684210526315
10,434,10,0.12668150514201626,0.0,0.8947368421052632,,,
11,483,11,0.1285487138581387,0.0,0.8947368421052632,,,
12,524,12,0.12920809019138688,0.0,0.8947368421052632,,,
13,573,13,0.12897468789473351,0.0,0.8947368421052632,,,
14,614,14,0.17234319475518353,0.0,0.8947368421052632,,,
15,655,15,0.14451904243689387,0.0,0.8947368421052632,,,
16,696,16,0.2014037168079158,0.0,0.8947368421052632,,,
17,745,17,0.11818166621763945,0.0,0.8947368421052632,0.14503860242701738,0.0,0.8947368421052632
18,786,18,0.12883830635313642,0.0,0.8947368421052632,,,
19,827,19,0.13791169494463248,0.0,0.8947368421052632,,,
20,876,20,0.13591749252619895,0.0,0.8947368421052632,,,
21,925,21,0.12358202020190219,0.0,0.8947368421052632,,,
22,966,22,0.13786101160908584,0.0,0.8947368421052632,,,
23,1007,23,0.12331792619301632,0.0,0.8947368421052632,,,
24,1056,24,0.10399093048825306,0.0,0.8947368421052632,,,
25,1097,25,0.10323190949164018,0.0,0.8947368421052632,0.13711700600515905,0.0,0.8947368421052632
26,1138,26,0.14440801303079573,0.0,0.8947368421052632,,,
27,1187,27,0.10627109618721078,0.0,0.8947368421052632,,,
28,1236,28,0.12014550271466154,0.0,0.8421052631578947,,,
29,1285,29,0.1083597421540374,0.0,0.8947368421052632,,,
30,1326,30,0.15621783123349453,0.0,0.8947368421052632,,,
31,1375,31,0.09113065842793125,0.0,0.8947368421052632,,,
32,1416,32,0.08696532464043412,0.0,0.9473684210526315,,,
33,1457,33,0.16544540643363145,0.0,0.8947368421052632,0.13166542455924354,0.0,0.8421052631578947
34,1498,34,0.12969483571398452,0.0,0.8421052631578947,,,
35,1539,35,0.087966510635757,0.0,0.9473684210526315,,,
36,1580,36,0.21223166149733153,0.0,0.7894736842105263,,,
37,1621,37,0.082881063987581,0.0,0.9473684210526315,,,
38,1670,38,0.11457220425170818,0.0,0.8421052631578947,,,
39,1711,39,0.16002168357038316,0.0,0.8947368421052632,,,
40,1752,40,0.12268378580798162,0.0,0.9473684210526315,,,
41,1793,41,0.12905417225049318,0.0,0.8421052631578947,0.10113492387506995,0.0,0.8421052631578947
42,1834,42,0.09628656717611012,0.0,0.9473684210526315,,,
43,1875,43,0.1778782592387579,0.0,0.7368421052631579,,,
44,1924,44,0.118184900488183,0.0,0.8947368421052632,,,
45,1965,45,0.15786481827536775,0.0,0.8947368421052632,,,
46,2006,46,0.13840199839512934,0.0,0.8947368421052632,,,
47,2047,47,0.11445085603460031,0.0,0.8947368421052632,,,
48,2088,48,0.14028294042628842,0.0,0.8947368421052632,,,
49,2137,49,0.09449576496447357,0.0,0.8947368421052632,0.12266206726821838,0.0,0.8947368421052632
